timestamp,cpu_percent,memory_mb
1747744710.3685114,96.9,68.76171875
1747744711.3710382,25.0,72.36328125
1747744712.373455,21.0,63.5625
1747744713.3758876,21.0,63.57421875
1747744714.3782442,19.0,69.50390625
1747744715.3806376,6.0,81.48046875
1747744716.3830557,23.0,81.484375
1747744717.3853984,23.0,81.4921875
1747744718.3879588,18.0,81.5
1747744719.390451,22.0,81.50390625
1747744720.3929327,11.0,84.53125
1747744721.3957725,9.0,90.609375
1747744722.398082,30.0,90.61328125
1747744723.4005048,15.0,90.61328125
1747744724.4028819,19.0,90.61328125
1747744725.4052656,28.0,90.61328125
1747744726.4077609,16.0,90.6171875
1747744727.4101424,11.0,90.62109375
1747744728.4118931,17.0,90.62109375
1747744729.4144802,17.0,90.6328125
1747744730.417026,15.0,90.6328125
1747744731.4196234,19.0,93.46484375
1747744732.4232674,24.0,90.6328125
1747744733.4261112,29.0,90.63671875
1747744734.428617,17.0,90.640625
1747744735.431115,21.0,90.640625
1747744736.4337385,24.0,90.640625
1747744737.436147,28.0,90.640625
1747744738.4386513,14.0,90.640625
1747744739.441243,20.0,90.640625
