timestamp,cpu_percent,memory_mb
1747658682.9354815,91.9,60.05078125
1747658683.9377968,1.0,60.05078125
1747658684.9398458,0.0,60.05078125
1747658685.9420156,0.0,60.05078125
1747658686.943837,1.0,60.05078125
1747658687.9460487,0.0,60.05078125
1747658688.9477117,1.0,60.05078125
1747658689.949701,1.0,60.05078125
1747658690.951922,0.0,60.05078125
1747658691.9541166,1.0,60.05078125
1747658692.9563,0.0,60.05078125
1747658693.9584944,1.0,60.05078125
1747658694.9606805,0.0,60.05078125
1747658695.962882,1.0,60.05078125
1747658696.9651127,1.0,60.05078125
1747658697.967338,0.0,60.05078125
1747658698.969536,1.0,60.05078125
1747658699.971732,0.0,60.05078125
1747658700.97392,1.0,60.05078125
1747658701.9761052,0.0,60.05078125
1747658702.9783022,0.0,60.05078125
1747658703.9805195,1.0,60.05078125
1747658704.9827182,2.0,60.05078125
1747658705.9849548,0.0,60.05078125
1747658706.9871664,1.0,60.05078125
1747658707.9893546,0.0,60.05078125
1747658708.9916227,0.0,60.05078125
1747658709.9938176,1.0,60.05078125
1747658710.9957821,0.0,60.05078125
1747658711.9980173,1.0,60.05078125
