timestamp,cpu_percent,memory_mb
1747658856.8232267,99.9,60.80859375
1747658857.8255348,25.0,60.85546875
1747658858.8278506,27.0,60.87890625
1747658859.8301826,25.0,60.89453125
1747658860.83257,26.0,60.90234375
1747658861.835069,25.0,60.9140625
1747658862.8375382,28.0,60.91796875
1747658863.8398364,27.0,60.92578125
1747658864.842255,26.0,60.93359375
1747658865.8506935,26.9,60.94140625
1747658866.8567011,25.9,60.94140625
1747658867.8642018,28.0,61.9765625
1747658868.8667235,27.0,69.83984375
1747658869.8693154,27.0,73.640625
1747658870.871783,26.0,64.75
1747658871.8742661,25.0,61.984375
1747658872.875951,27.0,70.35546875
1747658873.8784883,25.0,61.984375
1747658874.8811824,28.0,75.96484375
1747658875.883891,26.0,70.62109375
1747658876.8861952,28.0,61.99609375
1747658877.8878655,26.0,61.99609375
1747658878.890368,26.0,62.0
1747658879.8918731,27.0,62.0
1747658880.8942668,25.0,62.00390625
1747658881.8959036,28.0,62.0078125
1747658882.8982642,28.0,62.0078125
1747658883.89998,27.0,76.7578125
1747658884.9023995,28.0,62.0078125
1747658885.9039028,28.0,62.0078125
