timestamp,cpu_percent,memory_mb
1747659056.820539,91.9,53.57421875
1747659057.8229418,2.0,53.57421875
1747659058.8251758,0.0,53.57421875
1747659059.827418,1.0,53.57421875
1747659060.8296916,0.0,53.57421875
1747659061.832025,0.0,53.57421875
1747659062.8343248,1.0,53.57421875
1747659063.8366098,0.0,53.57421875
1747659064.8388681,0.0,53.57421875
1747659065.8411658,1.0,53.57421875
1747659066.8434842,1.0,53.57421875
1747659067.8456225,1.0,53.57421875
1747659068.84776,0.0,53.57421875
1747659069.8500795,0.0,53.57421875
1747659070.8516207,0.0,53.83203125
1747659071.853624,1.0,53.83203125
1747659072.8558567,1.0,53.83203125
1747659073.858188,0.0,53.83203125
1747659074.8607829,1.0,53.83203125
1747659075.863067,1.0,53.83203125
1747659076.8653197,1.0,53.83203125
1747659077.8675458,0.0,53.83203125
1747659078.8696923,0.0,53.83203125
1747659079.8718612,1.0,53.83203125
1747659080.8740652,0.0,53.83203125
1747659081.8763769,1.0,53.83203125
1747659082.8786688,0.0,53.83203125
1747659083.8806782,1.0,53.83203125
1747659084.8825963,0.0,53.83203125
1747659085.8846164,0.0,53.83203125
