timestamp,cpu_percent,memory_mb
1747744743.27049,94.9,57.875
1747744744.2720408,6.0,58.3203125
1747744745.2743084,5.0,58.3203125
1747744746.2765632,5.0,58.3203125
1747744747.278869,5.0,58.3203125
1747744748.281076,5.0,58.3203125
1747744749.2832744,5.0,58.3203125
1747744750.2855098,6.0,58.3203125
1747744751.287743,5.0,58.3203125
1747744752.2900403,5.0,58.3203125
1747744753.29253,5.0,58.3203125
1747744754.2945015,5.0,58.3203125
1747744755.2968369,6.0,58.3203125
1747744756.2991216,5.0,58.3203125
1747744757.3014648,5.0,58.3203125
1747744758.3038483,6.0,58.3203125
1747744759.3058248,5.0,58.3203125
1747744760.3080497,5.0,58.3203125
1747744761.3106058,5.0,58.3203125
1747744762.3126836,5.0,58.3203125
1747744763.3144228,6.0,58.3203125
1747744764.316671,5.0,58.3203125
1747744765.3188891,5.0,58.3203125
1747744766.3211179,5.0,58.3203125
1747744767.3233316,6.0,58.3203125
1747744768.325534,5.0,58.3203125
1747744769.327756,5.0,58.3203125
1747744770.3299894,5.0,58.3203125
1747744771.3321984,6.0,58.3203125
1747744772.334444,5.0,58.3203125
