[INFO] [1749075154.158086964] [dds_talker]: Starting talker...
100.0Hz 1000msgs 1000000B payload
[INFO] [1749075155.162523468] [dds_talker]: [100] CPU: 0.00% | MEM: 61.33 MB
[INFO] [1749075156.162912188] [dds_talker]: [200] CPU: 34.00% | MEM: 61.33 MB
[INFO] [1749075157.162461629] [dds_talker]: [300] CPU: 36.00% | MEM: 61.37 MB
[INFO] [1749075158.163331596] [dds_talker]: [400] CPU: 45.00% | MEM: 61.37 MB
[INFO] [1749075159.163321371] [dds_talker]: [500] CPU: 38.00% | MEM: 61.37 MB
[INFO] [1749075160.162497151] [dds_talker]: [600] CPU: 43.00% | MEM: 61.37 MB
[INFO] [1749075161.162288228] [dds_talker]: [700] CPU: 35.00% | MEM: 61.37 MB
[INFO] [1749075162.165193068] [dds_talker]: [800] CPU: 36.90% | MEM: 61.37 MB
[INFO] [1749075163.162526774] [dds_talker]: [900] CPU: 39.10% | MEM: 61.37 MB
[INFO] [1749075164.162285684] [dds_talker]: [1000] CPU: 44.00% | MEM: 61.37 MB
[INFO] [1749075164.163044024] [dds_talker]: Sent 1000 messages.
