[INFO] [1747745032.625914144] [ros2_monitor]: Monitoring /robot/camera/color/image_raw for 30.0 seconds...
[INFO] [1747745033.606759296] [ros2_monitor]: [Interim] Msgs: 5 | Rate: 4.97 Hz | CPU: 0.0% | MEM: 55.43 MB
[INFO] [1747745034.607578336] [ros2_monitor]: [Interim] Msgs: 11 | Rate: 5.48 Hz | CPU: 13.0% | MEM: 54.74 MB
[INFO] [1747745035.611483936] [ros2_monitor]: [Interim] Msgs: 17 | Rate: 5.65 Hz | CPU: 12.0% | MEM: 55.52 MB
[INFO] [1747745036.606879552] [ros2_monitor]: [Interim] Msgs: 23 | Rate: 5.74 Hz | CPU: 13.1% | MEM: 55.53 MB
[INFO] [1747745037.606357856] [ros2_monitor]: [Interim] Msgs: 29 | Rate: 5.79 Hz | CPU: 11.0% | MEM: 55.54 MB
[INFO] [1747745038.606375904] [ros2_monitor]: [Interim] Msgs: 35 | Rate: 5.83 Hz | CPU: 12.0% | MEM: 55.54 MB
[INFO] [1747745039.606219616] [ros2_monitor]: [Interim] Msgs: 41 | Rate: 5.85 Hz | CPU: 11.0% | MEM: 55.55 MB
[INFO] [1747745040.606453920] [ros2_monitor]: [Interim] Msgs: 47 | Rate: 5.87 Hz | CPU: 12.0% | MEM: 55.55 MB
[INFO] [1747745041.606605024] [ros2_monitor]: [Interim] Msgs: 53 | Rate: 5.88 Hz | CPU: 10.0% | MEM: 55.57 MB
[INFO] [1747745042.606291424] [ros2_monitor]: [Interim] Msgs: 59 | Rate: 5.90 Hz | CPU: 12.0% | MEM: 55.57 MB
[INFO] [1747745043.606220832] [ros2_monitor]: [Interim] Msgs: 65 | Rate: 5.91 Hz | CPU: 12.0% | MEM: 55.58 MB
[INFO] [1747745044.606639456] [ros2_monitor]: [Interim] Msgs: 71 | Rate: 5.91 Hz | CPU: 12.0% | MEM: 55.63 MB
[INFO] [1747745045.606463360] [ros2_monitor]: [Interim] Msgs: 77 | Rate: 5.92 Hz | CPU: 11.0% | MEM: 55.64 MB
[INFO] [1747745046.606466464] [ros2_monitor]: [Interim] Msgs: 83 | Rate: 5.93 Hz | CPU: 11.0% | MEM: 55.64 MB
[INFO] [1747745047.606331456] [ros2_monitor]: [Interim] Msgs: 89 | Rate: 5.93 Hz | CPU: 12.0% | MEM: 55.64 MB
[INFO] [1747745048.606353664] [ros2_monitor]: [Interim] Msgs: 95 | Rate: 5.94 Hz | CPU: 12.0% | MEM: 55.64 MB
[INFO] [1747745049.606430080] [ros2_monitor]: [Interim] Msgs: 101 | Rate: 5.94 Hz | CPU: 12.0% | MEM: 55.64 MB
[INFO] [1747745050.606455232] [ros2_monitor]: [Interim] Msgs: 107 | Rate: 5.94 Hz | CPU: 11.0% | MEM: 55.65 MB
[INFO] [1747745051.606456352] [ros2_monitor]: [Interim] Msgs: 113 | Rate: 5.95 Hz | CPU: 11.0% | MEM: 55.65 MB
[INFO] [1747745052.606480320] [ros2_monitor]: [Interim] Msgs: 119 | Rate: 5.95 Hz | CPU: 12.0% | MEM: 55.65 MB
[INFO] [1747745053.606375808] [ros2_monitor]: [Interim] Msgs: 125 | Rate: 5.95 Hz | CPU: 11.0% | MEM: 55.65 MB
[INFO] [1747745054.606379776] [ros2_monitor]: [Interim] Msgs: 131 | Rate: 5.95 Hz | CPU: 13.0% | MEM: 54.93 MB
[INFO] [1747745055.606136224] [ros2_monitor]: [Interim] Msgs: 137 | Rate: 5.95 Hz | CPU: 11.0% | MEM: 55.70 MB
[INFO] [1747745056.606186016] [ros2_monitor]: [Interim] Msgs: 143 | Rate: 5.96 Hz | CPU: 11.0% | MEM: 55.71 MB
[INFO] [1747745057.606116032] [ros2_monitor]: [Interim] Msgs: 149 | Rate: 5.96 Hz | CPU: 12.0% | MEM: 55.71 MB
[INFO] [1747745058.606153536] [ros2_monitor]: [Interim] Msgs: 155 | Rate: 5.96 Hz | CPU: 11.0% | MEM: 55.71 MB
[INFO] [1747745059.606069856] [ros2_monitor]: [Interim] Msgs: 161 | Rate: 5.96 Hz | CPU: 11.0% | MEM: 55.71 MB
[INFO] [1747745060.606364896] [ros2_monitor]: [Interim] Msgs: 167 | Rate: 5.96 Hz | CPU: 11.0% | MEM: 55.71 MB
[INFO] [1747745061.606365600] [ros2_monitor]: [Interim] Msgs: 173 | Rate: 5.96 Hz | CPU: 12.0% | MEM: 55.72 MB
[INFO] [1747745062.606361152] [ros2_monitor]: [Interim] Msgs: 179 | Rate: 5.97 Hz | CPU: 12.0% | MEM: 55.72 MB
[INFO] [1747745062.702995648] [ros2_monitor]: [Final] Samples: 180 | Avg: 1747740510196.236 ms | Min: 1747740510173.679 ms | Max: 1747740510293.484 ms | Std: 16.482 ms | Throughput: 5.981 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.093 s
