timestamp,cpu_percent,memory_mb
1747745166.1922336,89.9,50.71484375
1747745167.1948893,2.0,50.71484375
1747745168.1978097,2.0,50.71484375
1747745169.201451,2.0,50.71484375
1747745170.2048147,4.0,50.71484375
1747745171.2080536,1.0,50.71484375
1747745172.211155,2.0,50.71484375
1747745173.214322,2.0,50.71484375
1747745174.2174766,3.0,50.71484375
1747745175.2205527,1.0,51.15625
1747745176.2237246,2.0,51.15625
1747745177.2267463,2.0,51.15625
1747745178.2297912,1.0,51.15625
1747745179.2327173,3.0,51.15625
1747745180.2356367,1.0,51.15625
1747745181.2385917,2.0,51.15625
1747745182.241777,2.0,51.15625
1747745183.2448215,1.0,51.15625
1747745184.2481654,2.0,51.15625
1747745185.251044,1.0,51.15625
1747745186.253935,2.0,51.15625
1747745187.2569447,2.0,51.15625
1747745188.259919,1.0,51.15625
1747745189.2628613,1.0,51.15625
1747745190.265592,3.0,51.4140625
1747745191.26865,2.0,51.4140625
1747745192.2709746,1.0,51.4140625
1747745193.274319,1.0,51.4140625
1747745194.278125,3.0,51.4140625
1747745195.28137,2.0,51.4140625
