[INFO] [1749075181.846842098] [dds_talker]: Starting talker...
100.0Hz 1000msgs 1000000B payload
[INFO] [1749075182.851880692] [dds_talker]: [100] CPU: 0.00% | MEM: 61.24 MB
[INFO] [1749075183.850665267] [dds_talker]: [200] CPU: 35.00% | MEM: 61.24 MB
[INFO] [1749075184.852195798] [dds_talker]: [300] CPU: 33.00% | MEM: 61.24 MB
[INFO] [1749075185.851252215] [dds_talker]: [400] CPU: 41.00% | MEM: 61.24 MB
[INFO] [1749075186.852046612] [dds_talker]: [500] CPU: 39.00% | MEM: 61.24 MB
[INFO] [1749075187.852115203] [dds_talker]: [600] CPU: 41.00% | MEM: 61.24 MB
[INFO] [1749075188.852599804] [dds_talker]: [700] CPU: 40.00% | MEM: 61.24 MB
[INFO] [1749075189.851560127] [dds_talker]: [800] CPU: 40.00% | MEM: 61.24 MB
[INFO] [1749075190.851169440] [dds_talker]: [900] CPU: 43.00% | MEM: 61.24 MB
[INFO] [1749075191.851281073] [dds_talker]: [1000] CPU: 36.00% | MEM: 61.24 MB
[INFO] [1749075191.852035665] [dds_talker]: Sent 1000 messages.
