[INFO] [1749075205.713053557] [dds_talker]: Starting talker...
100.0Hz 1000msgs 1000000B payload
[INFO] [1749075206.716880184] [dds_talker]: [100] CPU: 0.00% | MEM: 61.09 MB
[INFO] [1749075207.717250260] [dds_talker]: [200] CPU: 30.00% | MEM: 61.09 MB
[INFO] [1749075208.717056171] [dds_talker]: [300] CPU: 33.00% | MEM: 61.09 MB
[INFO] [1749075209.718263661] [dds_talker]: [400] CPU: 40.00% | MEM: 61.06 MB
[INFO] [1749075210.718069046] [dds_talker]: [500] CPU: 43.00% | MEM: 61.06 MB
[INFO] [1749075211.717484023] [dds_talker]: [600] CPU: 40.00% | MEM: 61.06 MB
[INFO] [1749075212.717713355] [dds_talker]: [700] CPU: 32.00% | MEM: 61.06 MB
[INFO] [1749075213.719564655] [dds_talker]: [800] CPU: 44.90% | MEM: 61.06 MB
[INFO] [1749075214.719264265] [dds_talker]: [900] CPU: 52.00% | MEM: 61.06 MB
[INFO] [1749075215.717873925] [dds_talker]: [1000] CPU: 47.00% | MEM: 61.06 MB
[INFO] [1749075215.718728349] [dds_talker]: Sent 1000 messages.
