timestamp,cpu_percent,memory_mb
1747744776.009119,90.9,59.2421875
1747744777.011437,1.0,59.2421875
1747744778.0140886,1.0,59.2421875
1747744779.0163054,2.0,59.2421875
1747744780.0185704,1.0,59.2421875
1747744781.0207658,2.0,59.2421875
1747744782.0223923,1.0,59.2421875
1747744783.0248766,1.0,59.2421875
1747744784.0271153,1.0,59.2421875
1747744785.0293167,2.0,59.2421875
1747744786.031531,1.0,59.2421875
1747744787.033733,2.0,59.2421875
1747744788.0359068,0.0,59.2421875
1747744789.0381608,1.0,59.2421875
1747744790.040344,2.0,59.2421875
1747744791.042516,1.0,59.2421875
1747744792.0446892,1.0,59.2421875
1747744793.047181,2.0,59.2421875
1747744794.0498185,2.0,59.2421875
1747744795.0522742,1.0,59.2421875
1747744796.0544536,1.0,59.2421875
1747744797.0566463,1.0,59.2421875
1747744798.0584269,1.0,59.2421875
1747744799.0606625,1.0,59.2421875
1747744800.0629354,2.0,59.2421875
1747744801.0655887,1.0,59.2421875
1747744802.0682006,2.0,59.2421875
1747744803.0704527,2.0,59.2421875
1747744804.072604,1.0,59.2421875
1747744805.0748634,1.0,59.2421875
