timestamp,cpu_percent,memory_mb
1747658823.7825863,87.9,52.57421875
1747658824.783457,3.0,53.6171875
1747658825.7857544,7.0,53.61328125
1747658826.7877865,8.0,52.90625
1747658827.7900214,7.0,53.68359375
1747658828.7918758,7.0,53.6953125
1747658829.794129,6.0,53.69921875
1747658830.795724,8.0,53.70703125
1747658831.7980173,7.0,53.71875
1747658832.7999191,7.0,53.71875
1747658833.8023467,8.0,53.72265625
1747658834.8039474,7.0,53.7265625
1747658835.8063798,6.0,53.7265625
1747658836.8080668,8.0,54.5078125
1747658837.8104842,8.0,53.52734375
1747658838.8129566,7.0,53.53125
1747658839.8154063,7.0,53.53515625
1747658840.8178508,8.0,53.5390625
1747658841.8199553,7.0,53.5390625
1747658842.8224144,7.0,53.54296875
1747658843.8248665,8.0,53.54296875
1747658844.8273509,7.0,53.546875
1747658845.8297756,8.0,53.546875
1747658846.8322008,7.0,53.55078125
1747658847.8346548,7.0,53.55078125
1747658848.8371658,8.0,53.61328125
1747658849.839633,8.0,53.6171875
1747658850.8420699,6.0,53.6171875
1747658851.8444705,8.0,53.62109375
1747658852.8468761,7.0,53.62109375
