timestamp,cpu_percent,memory_mb
1747658889.7795181,94.9,49.52734375
1747658890.781703,7.0,49.9609375
1747658891.7837377,7.0,50.21875
1747658892.7857592,7.0,50.21875
1747658893.7876287,7.0,50.21875
1747658894.7893934,6.0,50.21875
1747658895.7913651,7.0,50.21875
1747658896.7933352,6.0,50.21875
1747658897.7953384,6.0,50.21875
1747658898.7973316,7.0,50.21875
1747658899.7996855,6.0,50.21875
1747658900.802096,7.0,50.21875
1747658901.8044994,6.0,50.21875
1747658902.806605,7.0,50.21875
1747658903.809123,7.0,50.21875
1747658904.8115373,6.0,50.21875
1747658905.8139064,7.0,50.21875
1747658906.815813,6.0,50.21875
1747658907.8182497,7.0,50.21875
1747658908.8198767,6.0,50.21875
1747658909.8222106,7.0,50.21875
1747658910.8238275,7.0,50.21875
1747658911.8261504,6.0,50.21875
1747658912.8278387,6.0,50.21875
1747658913.8301616,7.0,50.21875
1747658914.832436,6.0,50.21875
1747658915.8346791,7.0,50.21875
1747658916.8369997,6.0,50.21875
1747658917.8393378,7.0,50.21875
1747658918.8416576,6.0,50.21875
