timestamp,cpu_percent,memory_mb
1747658450.1327593,94.9,61.07421875
1747658451.1350892,6.0,61.09375
1747658452.1373873,8.0,61.109375
1747658453.1397905,7.0,61.12109375
1747658454.142164,8.0,61.125
1747658455.1438901,7.0,61.1328125
1747658456.1462262,7.0,61.14453125
1747658457.14859,7.0,61.1484375
1747658458.1502135,8.0,61.15234375
1747658459.1515968,7.0,61.1640625
1747658460.1536877,7.0,61.1640625
1747658461.1555476,7.0,61.16796875
1747658462.1578739,7.0,61.17578125
1747658463.1599073,8.0,61.17578125
1747658464.161234,5.0,61.1796875
1747658465.1632407,7.0,61.18359375
1747658466.1654816,8.0,61.18359375
1747658467.1677773,6.0,61.1875
1747658468.1699235,7.0,61.19140625
1747658469.1722121,6.0,61.19140625
1747658470.1746237,8.0,61.1953125
1747658471.1767483,7.0,61.22265625
1747658472.1791983,7.0,61.2265625
1747658473.181208,6.0,61.2265625
1747658474.1830237,9.0,61.2265625
1747658475.185409,7.0,61.2265625
1747658476.187466,7.0,61.2265625
1747658477.1892102,7.0,61.23046875
1747658478.1913629,8.0,61.234375
1747658479.1933305,6.0,61.23828125
