[INFO] [1747658449.703474658] [ros2_monitor]: Monitoring /robot/camera/color/image_raw for 30.0 seconds...
[INFO] [1747658450.683146034] [ros2_monitor]: [Interim] Msgs: 4 | Rate: 3.96 Hz | CPU: 0.0% | MEM: 61.08 MB
[INFO] [1747658451.683244787] [ros2_monitor]: [Interim] Msgs: 10 | Rate: 4.97 Hz | CPU: 8.0% | MEM: 61.11 MB
[INFO] [1747658452.683281896] [ros2_monitor]: [Interim] Msgs: 16 | Rate: 5.31 Hz | CPU: 7.0% | MEM: 61.12 MB
[INFO] [1747658453.682816969] [ros2_monitor]: [Interim] Msgs: 22 | Rate: 5.49 Hz | CPU: 8.0% | MEM: 61.12 MB
[INFO] [1747658454.682836264] [ros2_monitor]: [Interim] Msgs: 28 | Rate: 5.59 Hz | CPU: 7.0% | MEM: 61.12 MB
[INFO] [1747658455.682743034] [ros2_monitor]: [Interim] Msgs: 34 | Rate: 5.66 Hz | CPU: 7.0% | MEM: 61.14 MB
[INFO] [1747658456.682297722] [ros2_monitor]: [Interim] Msgs: 40 | Rate: 5.71 Hz | CPU: 7.0% | MEM: 61.15 MB
[INFO] [1747658457.682531742] [ros2_monitor]: [Interim] Msgs: 46 | Rate: 5.74 Hz | CPU: 8.0% | MEM: 61.15 MB
[INFO] [1747658458.682254412] [ros2_monitor]: [Interim] Msgs: 52 | Rate: 5.77 Hz | CPU: 6.0% | MEM: 61.16 MB
[INFO] [1747658459.683460653] [ros2_monitor]: [Interim] Msgs: 58 | Rate: 5.79 Hz | CPU: 8.0% | MEM: 61.16 MB
[INFO] [1747658460.682020143] [ros2_monitor]: [Interim] Msgs: 64 | Rate: 5.81 Hz | CPU: 7.0% | MEM: 61.17 MB
[INFO] [1747658461.682624943] [ros2_monitor]: [Interim] Msgs: 70 | Rate: 5.83 Hz | CPU: 7.0% | MEM: 61.17 MB
[INFO] [1747658462.682549526] [ros2_monitor]: [Interim] Msgs: 76 | Rate: 5.84 Hz | CPU: 6.0% | MEM: 61.18 MB
[INFO] [1747658463.681701252] [ros2_monitor]: [Interim] Msgs: 82 | Rate: 5.85 Hz | CPU: 7.0% | MEM: 61.18 MB
[INFO] [1747658464.683313944] [ros2_monitor]: [Interim] Msgs: 88 | Rate: 5.86 Hz | CPU: 6.0% | MEM: 61.18 MB
[INFO] [1747658465.682857592] [ros2_monitor]: [Interim] Msgs: 94 | Rate: 5.87 Hz | CPU: 8.0% | MEM: 61.18 MB
[INFO] [1747658466.682859638] [ros2_monitor]: [Interim] Msgs: 100 | Rate: 5.88 Hz | CPU: 7.0% | MEM: 61.19 MB
[INFO] [1747658467.682009018] [ros2_monitor]: [Interim] Msgs: 106 | Rate: 5.89 Hz | CPU: 7.0% | MEM: 61.19 MB
[INFO] [1747658468.682661520] [ros2_monitor]: [Interim] Msgs: 112 | Rate: 5.89 Hz | CPU: 6.0% | MEM: 61.19 MB
[INFO] [1747658469.682732241] [ros2_monitor]: [Interim] Msgs: 118 | Rate: 5.90 Hz | CPU: 7.0% | MEM: 61.19 MB
[INFO] [1747658470.683615959] [ros2_monitor]: [Interim] Msgs: 124 | Rate: 5.90 Hz | CPU: 7.0% | MEM: 61.22 MB
[INFO] [1747658471.683570624] [ros2_monitor]: [Interim] Msgs: 130 | Rate: 5.91 Hz | CPU: 8.0% | MEM: 61.22 MB
[INFO] [1747658472.682596204] [ros2_monitor]: [Interim] Msgs: 136 | Rate: 5.91 Hz | CPU: 7.0% | MEM: 61.23 MB
[INFO] [1747658473.682280411] [ros2_monitor]: [Interim] Msgs: 142 | Rate: 5.91 Hz | CPU: 7.0% | MEM: 61.23 MB
[INFO] [1747658474.682768432] [ros2_monitor]: [Interim] Msgs: 148 | Rate: 5.92 Hz | CPU: 7.0% | MEM: 61.23 MB
[INFO] [1747658475.682779248] [ros2_monitor]: [Interim] Msgs: 154 | Rate: 5.92 Hz | CPU: 7.0% | MEM: 61.23 MB
[INFO] [1747658476.683220527] [ros2_monitor]: [Interim] Msgs: 160 | Rate: 5.92 Hz | CPU: 7.0% | MEM: 61.23 MB
[INFO] [1747658477.683043319] [ros2_monitor]: [Interim] Msgs: 166 | Rate: 5.93 Hz | CPU: 8.0% | MEM: 61.23 MB
[INFO] [1747658478.683037945] [ros2_monitor]: [Interim] Msgs: 172 | Rate: 5.93 Hz | CPU: 8.0% | MEM: 61.24 MB
[INFO] [1747658479.682754218] [ros2_monitor]: [Interim] Msgs: 178 | Rate: 5.93 Hz | CPU: 6.0% | MEM: 61.24 MB
[INFO] [1747658479.783773220] [ros2_monitor]: [Final] Samples: 179 | Avg: -123271.126 ms | Min: -123284.588 ms | Max: -123165.229 ms | Std: 9.889 ms | Throughput: 5.946 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.106 s
